word,translation(s)
"äijä", "old man; man"
"tahtoa", "desire"
"voitto", "victory; profit; win; triumph"
"tyhjä", "empty"
"rinne", "slope; hillside"
"lahja", "gift; present"
"helpottaa", "alleviate; facilitate; relieve"
"poliitikko", "politician"
"pelastaa", "rescue; save"
"studio", "studio"
"sisko", "sister"
"seinä", "wall"
"pyöriä", "roll"
"purkaa", "dismantle; vent; unravel; defuse; decrypt"
"piirtää", "draw"
"neljäs", "fourth"
"jälleen", "again"
"jakso", "period; episode"
"esitys", "representation; presentation; proposition; show; performance"
"ase", "weapon"
"vapaus", "freedom; liberty"
"sauna", "sauna"
"kari", "shoal; rock"
"arvostaa", "appreciate; value"
"oire", "symptom; sign"
"monta", "many; numerous"
"maahanmuuttaja", "immigrant"
"kuuma", "hot"
"kieltää", "forbid; prohibit; deny"
"hoitaja", "nurse"
"aluksi", "in the beginning; to begin with; ab initio; originally; initially"
"hullu", "mad; insane; crazy; lunatic"
"väri", "colour; dye; color; hue"
"tähti", "star"
"toivo", "hope"
"todellinen", "real; true"
"meininki", "spirit of happening; spirit"
"asukas", "inhabitant; resident"
"tarttua", "grasp; seize; grab; grip"
"suora", "straight"
"tytär", "daughter"
"opetella", "learn"
"lava", "platform; stage; bandstand"
"laiva", "ship"
"kausi", "period; era; season"
"jäsen", "member"
"satu", "fairy tale; tale; story"
"kiertää", "twist; orbit"
"keskeinen", "central; pivotal"
"huolehtia", "worry; care; provide"
"jengi", "posse; any group of people; gang"
"toisin", "differently"
"seitsemän", "seven"
"parantaa", "cure; improve; heal; enhance"
"naapuri", "neighbour; neighbor"
"jännä", "exciting; funny"
"mielellään", "with pleasure; willingly; preferably"
"kumpi", "which"
"kantaa", "carry; bear"
"virhe", "error; mistake; fault"
"viha", "hatred; hate; anger"
"vero", "tax"
"selvästi", "evidently; clearly; explicitly; clear; apparently"
"mieletön", "absurd"
"lintu", "bird"
"johto", "lead; leadership"
"huippu", "peak; top"
"harjoitella", "exercise; practice; rehearse; train"
"erikoinen", "special; peculiar; exceptional"
"alkoholi", "alcohol"
"yllätys", "surprise"
"uni", "dream; sleep"
"tyhmä", "stupid; fool"
"seisoa", "stand"
"loistava", "brilliant"
"leikkiä", "play"
"kulta", "gold"
"epäillä", "doubt; suspect"
"asunto", "apartment; residence; dwelling; accommodation"
"totuus", "truth"
"seura", "company; association; society; club"
"monesti", "often; repeatedly"
"järkevä", "wise; reasonable; sensible"
"ilmiö", "phenomenon"
"edellinen", "previous; former"
"uudelleen", "again; anew"
"sininen", "blue"
"lähtien", "forward; since; from"
"yksityinen", "private"
"taistella", "fight"
"puolustaa", "defend; protect; champion"
"merkitä", "signify; mark"
"lähtö", "departure; start"
"kiusata", "harass; hassle; annoy"
"kaikkein", "very"
"palaute", "feedback"
"loistaa", "shine; glow"
"kilo", "kilo; kilogram"
"jatkuvasti", "continually; constantly; continuously"
"hius", "hair"
"haastattelu", "interview"
"monenlainen", "various; variable; varying; versatile"
"pyhä", "holy; sacred"
"kaikenlainen", "a lot; various; every kind of"
"järki", "reason"
"ympärillä", "around"
"välinen", "inter-; between"
"julkisuus", "public; publicity"
"harrastus", "hobby"
"usko", "belief; faith"
"pelkästään", "merely; strictly"
"luku", "number; chapter"
"kukka", "flower"
"kohde", "target; object; destination"
"kiusaaminen", "bullying"
"tunnelma", "atmosphere; ambiance"
"mummo", "grandmother; grandma"
"edustaa", "represent"
"ärsyttää", "irritate; annoy; rile"
"urheilu", "sport"
"tosin", "all right; though; in fact; although; however"
"taiteilija", "artist"
"selkä", "back"
"pekka", "boor; yokel; philistine; churl; bumpkin"
"muisto", "memory"
"lattia", "floor"
"firma", "firm; company"
"erityinen", "special"
"surullinen", "sad"
"lupa", "permission"
"kamera", "camera"
"radio", "radio"
"levy", "plate; disk"
"kunnes", "until; till"
"vieressä", "alongside; beside"
"perässä", "aft; astern; behind; after"
"muistuttaa", "remind; resemble"
"läheinen", "close"
"juhla", "party; festival; celebration; holiday"
"yhteisö", "community"
"voimakas", "strong"
"paino", "weight"
"opiskelija", "student"
"lähinnä", "predominantly; mainly; mostly"
"itkeä", "cry; weep"
"ehdottaa", "propose; suggest"
"täysi", "full; brimming; absolute"
"turva", "safety; security; refuge"
"pimeä", "dark"
"kilpailu", "competition"
"yksittäinen", "single; singular; solitary"
"väki", "people"
"rauhallinen", "calm; quiet; placid"
"nousu", "ascent; rise; ascension; takeoff"
"koettaa", "try on; try"
"katsoja", "spectator"
"häpeä", "shame; disgrace"
"haitata", "impede; harm"
"hahmo", "figure; shape; character"
"vasen", "left"
"lisääntyä", "reproduce; breed"
"kommentoida", "no comment; comment"
"hävitä", "lose; disappear; vanish"
"polvi", "knee"
"käsitys", "conception"
"kallis", "expensive"
"julkaista", "publish; release"
"siisti", "clean"
"pohjoinen", "north"
"nenä", "nose"
"tuskin", "hardly; barely"
"riittävä", "sufficient"
"osua", "hit"
"kuuro", "deaf"
"valitettavasti", "unfortunately; alas"
"tauti", "disease"
"tanssia", "dance"
"sektori", "sector"
"lähetä", "draw close; come closer; draw near; approach; come near"
"laite", "device; appliance"
"kakkonen", "second"
"harmittaa", "annoy; vex; provoke; put out; displease"
"asettaa", "set"
"maahanmuutto", "immigration"
"lumi", "snow"
"kortti", "card"
"koittaa", "dawn; come"
"kirje", "letter"
"kiinnittää", "attach; fasten; mortgage"
"hätä", "trouble"
"enempää", "most; no more; not anymore; more; no longer"
"avoin", "open"
"taloudellinen", "economic; financial"
"rankka", "hard; heavy"
"mahtua", "fit"
"käsittää", "comprehend; understand"
"entäs", "and; huh; but; ah; until"
"taide", "art"
"sairas", "sick; ill"
"puhdas", "clean; pure"
"pelottava", "daunting; frightening; fearsome"
"matkustaa", "travel"
"lämmin", "warm"
"loma", "vacation; holiday"
"leipä", "bread"
"konkreettinen", "concrete"
"tappaa", "kill"
"sijaan", "instead of"
"edustaja", "representative"
"vahvistaa", "confirm; corroborate; strengthen; reinforce; amplify"
"keittiö", "kitchen"
"esitellä", "introduce; demonstrate; present"
"taata", "guarantee"
"rouva", "lady"
"mitata", "measure"
"kahdeksan", "eight"
"esiintyä", "appear"
"ammattilainen", "professional; pro"
"äärimmäinen", "extreme"
"vanhus", "elderly person; old man; elderly man; old person; old"
"ohje", "instruction"
"kunnon", "proper; decent"
"välissä", "between"
"tyyli", "style"
"reuna", "edge"
"heippa", "see you later; bye"
"harva", "few; nowhere dense; sparse"
"etu", "advantage; benefit"
"ulkopuolella", "outside"
"tori", "market; square"
"sisäinen", "interior; internal; inward; inner"
"rahoitus", "financing; funding"
"päätyä", "end up; settle upon; wind up"
"polttaa", "burn; smoke"
"työllisyys", "employment"
"takaa", "behind"
"pysähtyä", "stop"
"nappi", "button"
"mitenkään", "possibly"
"mahdoton", "impossible"
"suostua", "accept; comply; agree"
"ryhtyä", "embark"
"rikos", "crime"
"reilu", "fair"
"päässä", "away"
"panostaa", "invest; allocate resources"
"paine", "pressure"
"osuus", "share; portion"
"omistaa", "own; possess"
"luovuttaa", "give up; abandon; give in"
"aktiivinen", "active"
"yhdeksän", "nine"
"uhri", "victim; sacrifice"
"turvallisuus", "safety; security"
"tarkkaan", "closely; strictly; precisely"
"säkki", "sack; bag"
"sulkea", "close; shut"
"pappi", "priest; clergyman"
"olennainen", "essential; pertinent"
"ohjaaja", "director"
"kriisi", "crisis"
"ikäinen", "old"
"ampua", "shoot"
"veto", "veto; bet; draft; traction"
"vastustaa", "resist; object"
"valmistaa", "make; prepare; produce; manufacture"
"tuolta", "from there"
"syöpä", "cancer"
"saakka", "until; till"
"reagoida", "react"
"mitä", "what"
"lukio", "grammar school; high school; secondary school; college; upper secondary school"
"kuulemma", "reputedly"
"kaukana", "far"
"hallita", "rule; reign; govern; master; dominate"
"veri", "blood"
"ravintola", "restaurant"
"määritellä", "define"
"maito", "milk"
"kuu", "moon"
"kenttä", "field"
"kasa", "heap; pile"
"huolimatta", "notwithstanding; in spite of; irregardless; no matter; despite"
"hammas", "tooth"
"da", "deck; sounding board; turntable; concave; saddle"
"tietenkään", "of course; naturally; certainly; obviously; au naturel"
"saavuttaa", "achieve; attain; reach; accomplish"
"lopuksi", "finally; ultimately"
"kysellä", "quiz"
"uudistus", "reform"
"rinta", "breast"
"musa", "music"
"maisema", "landscape"
"iho", "skin"
"huolissaan", "anxiously; worriedly; afraid"
