word,translation(s)
"välierä", "semifinal"
"toisinpäin", "vice versa"
"tanssija", "dancer"
"sivistys", "culture; civilisation; civilization"
"signaali", "signal"
"saalis", "prey; booty; catch"
"rukous", "prayer"
"rintasyöpä", "breast cancer"
"rikkinäinen", "broken"
"planeetta", "planet"
"panda", "panda"
"ovikello", "doorbell; bell"
"lounas", "lunch; southwest"
"kuukautinen", "monthly"
"kuljetus", "transportation; transport; shipment"
"hunaja", "honey"
"huijari", "charlatan; con man; swindler; crook"
"heittäytyä", "fall at; throw yourself; jump after; hurl yourself"
"eräänlainen", "kind of"
"yhteiskunnallinen", "social"
"virittää", "tune"
"verenkierto", "blood circulation; circulation"
"vartti", "quarter"
"vanheta", "old; get old"
"vajota", "sink"
"vahtia", "guard; keep watch"
"uusia", "renew"
"tyyny", "pillow; cushion"
"tutkiminen", "exploration"
"tonttu", "elf; gnome"
"terävä", "sharp; acute"
"tarjonta", "supply"
"taju", "consciousness"
"surmata", "slay"
"soveltaa", "adapt"
"sisu", "guts"
"sijoittua", "rank; place; position; place oneself; position oneself"
"salama", "lightning"
"ruuma", "hold"
"raita", "goat willow; track; streak"
"raiskata", "rape; ravish"
"pyyntö", "request"
"puolustusministeri", "minister of defense"
"pujottaa", "thread; slip; string"
"profiili", "profile"
"poispäin", "away"
"poikia", "kitten; calve"
"pikkuveli", "little brother; younger brother; kid brother; baby brother"
"peikko", "goblin; troll"
"palautua", "recover; recuperate"
"painia", "wrestle"
"onnekas", "lucky; fortunate"
"oivaltaa", "perceive; guess; grasp"
"ohut", "thin"
"naurettava", "ridiculous; absurd; preposterous"
"muisti", "memory"
"muikku", "cheese"
"miellyttävä", "pleasant; enjoyable; agreeable"
"mielekäs", "meaningful; sensible"
"metro", "subway; metro; underground"
"malmi", "ore"
"luuri", "receiver"
"lukeminen", "reading"
"lopettaminen", "termination; ending"
"legendaarinen", "legendary"
"lasi", "glass"
"lantio", "pelvis; hip"
"laihtua", "lose weight"
"laakso", "valley"
"kävijä", "visitor"
"kuulo", "hearing"
"kunnallinen", "municipal"
"kuningatar", "queen"
"kotouttaminen", "integration; domestication; naturalizing strategy; cultural filtering"
"korkeakoulu", "college"
"kokonaisvaltainen", "holistic"
"keskittää", "focus; concentrate"
"keskiaikainen", "medieval"
"kehto", "cradle; crib"
"kaukainen", "faraway; remote; distant"
"kauhu", "terror; horror; dread"
"kattila", "pot; kettle; saucepan"
"kannanotto", "stand; opinion; view; viewpoint"
"järkevästi", "sensibly"
"jännite", "voltage"
"jarruttaa", "brake"
"itsenäisyys", "independence"
"itseluottamus", "confidence"
"irrota", "come loose"
"imettää", "breastfeed; nurse; suckle"
"häiriö", "distraction; disorder; interference"
"huivi", "headscarf; scarf"
"houkutteleva", "tempting"
"hoksata", "notice; savvy; figure"
"hioa", "polish; refine"
"hienoa", "wonderful; nice"
"futis", "football; soccer"
"filmi", "film"
"eversti", "colonel"
"erimielisyys", "disagreement"
"ennätys", "record"
"ele", "gesture"
"ekonomisti", "economist"
"biologinen", "biological; bioweapon"
"aura", "plough; plow; aura"
"arvoitus", "riddle; enigma; puzzle"
"antaminen", "lending; administration; conferment; conveying; dealing"
"aloitus", "start"
"alho", "dell; lowland; valley"
"aiheutua", "stem; subject; result"
"ahdistava", "perturbing; worrying; troubling; worrisome; distressful"
"absurdi", "absurd"
"aamuisin", "mornings; in the morning"
"äitiys", "motherhood; maternity"
"yhdistys", "association"
"vilkkua", "wink; twinkle; flash; blink; winkle"
"vanheneminen", "aging; senescence; getting old"
"valaista", "illuminate; illumine"
"vahingoittaa", "damage; harm"
"uusiutua", "recur"
