word,translation(s)
"tuuri", "luck; fortune"
"suunnittelu", "planning"
"suola", "salt"
"romahtaa", "crash; collapse; cave in; crumble"
"operaatio", "operation"
"määritelmä", "definition"
"menetelmä", "method; process; procedure"
"lihavuus", "obesity"
"kiinnostus", "interest"
"kannatus", "advocacy"
"kaaos", "chaos; turmoil; disorder"
"journalismi", "journalism"
"houkutella", "tempt; persuade"
"harjoittaa", "exercise; practice"
"etäisyys", "distance"
"eläminen", "living"
"arvella", "surmise"
"alhainen", "low"
"vasten", "against"
"valinnanvapaus", "discretion; free will"
"tehokkaasti", "effectively; efficiently"
"tavoitella", "pursue; aspire"
"taloudellisesti", "economically; financially; fiscally"
"synkkä", "moody; gloomy; grim; bleak; dark"
"suhtautuminen", "attitude"
"sini", "sine; blue"
"sankari", "hero"
"salo", "grove; backwoods; forest; timberland; woodland"
"raskaus", "pregnancy; gestation"
"rakenteellinen", "structural"
"pääsy", "access"
"perä", "stern; tail"
"parta", "beard"
"parantua", "heal; improve; recover; mend"
"palkita", "reward; award"
"naimisissa", "married; I’m married"
"metsästäjä", "hunter"
"mekko", "dress"
"masentua", "get discouraged; get depressed"
"mahtavaa", "great"
"lääkitys", "medication"
"luonteva", "natural"
"lenkki", "loop; link"
"käännös", "translation"
"kuvaaja", "graph"
"kumpikaan", "either"
"kertomus", "narrative; tale; story"
"kassa", "cashier"
"jänis", "hare; rabbit"
"jälkeinen", "subsequent"
"juominen", "drink; drinking"
"joensuu", "estuary"
"innovaatio", "innovation"
"ihka", "quite; completely; entirely; totally; absolutely"
"häirintä", "interference; harassment"
"harjoittelu", "training; practice"
"hallussa", "in possession"
"eläinlääkäri", "veterinarian"
"alokas", "recruit"
"ajattella", "think; found"
"ainutlaatuinen", "unique; singular"
"ystävällinen", "friendly; kind; affable; nice"
"vapaa-aika", "leisure; free time; spare time"
"valoisa", "light"
"tuoksua", "smell"
"tuntemus", "sensation"
"toimitus", "delivery; supply"
"teettää", "work; have built; have done; have made; have somebody do something"
"tarkkailla", "watch; observe; supervise"
"sääntely", "regulation"
"strategia", "strategy"
"sotilas", "pawn; soldier"
"sisarus", "sibling"
"sirkus", "circus"
"seutu", "region"
"seppo", "smith; blacksmith"
"pula", "shortage"
"peruna", "potato"
"perinteisesti", "traditionally"
"palo", "fire"
"paljas", "naked; barren"
"ongelmallinen", "problematic"
"nätti", "pretty; cute"
"niitä", "those; them"
"märkä", "wet"
"monimuotoisuus", "diversity"
"meillä", "at our home; we; at our place"
"lemmikki", "pet; favorite; favourite"
"lakata", "cease; stop"
"laiton", "illegal; unlawful"
"kävely", "walk; walking"
"kuri", "discipline"
"kiivetä", "go up; climb; scale"
"katkaista", "break; cut"
"karva", "hair"
"kainalo", "armpit"
"jatkuva", "continuous; constant; perpetual"
"halki", "across; through"
"haitari", "accordion"
"fyysisesti", "physically"
"automaattisesti", "automatically"
"askartelu", "activity; hobby activity"
"arvostella", "criticize; criticise"
"ympyrä", "circle"
"välille", "between"
"vuotaa", "leak"
"vuokra", "rent"
"vastakkain", "opposite; vis-a-vis; contrarily; diametrically; face-to-face"
"vaalit", "election"
"työnantaja", "employer"
"toistaa", "repeat"
"teho", "power"
"talli", "stable"
"seurustella", "date"
"sekoittaa", "mix; shuffle; blend"
"realistinen", "realistic"
"potku", "kick"
"poimia", "pick; pluck; pick up"
"piikki", "tab; spike; thorn"
"olut", "beer; ale"
"näytelmä", "play; show"
"muuttaminen", "changing; moving"
"ministeriö", "ministry"
"lopullinen", "final; ultimate; definitive"
"lainata", "borrow; lend; quote"
"kymppi", "ten"
"kukko", "cock; rooster"
"krooninen", "chronic"
"kriteeri", "criterion"
"kokki", "cook; chef"
"kateellinen", "envious; jealous"
"jus", "justice; court; right; law; permission"
"hengellinen", "spiritual"
"hallitusohjelma", "government programme"
"haava", "wound; cut"
"elimistö", "system; tract"
"budjetti", "budget"
"bileet", "party"
"artikkeli", "article"
"ylläpitää", "maintain; uphold; sustain; preserve"
"ylhäältä", "from above; above"
"yksikkö", "singular; unit"
"virrata", "flow"
"vastakkainasettelu", "antagonism; competition; emulation; opposition; rivalry"
"vaille", "till"
"uuni", "oven; furnace; stove"
"toipua", "recover"
"tiski", "counter"
"suhteellinen", "relative"
"sijoittaja", "investor"
"riemu", "joy"
"ratkoa", "solve"
"portaat", "stairs; staircase; stairway; steps"
"poikaystävä", "boyfriend"
"onnistuminen", "success"
"mimmi", "girl"
"menetys", "loss"
"lohduttaa", "comfort; console; solace"
"käytös", "behaviour; behavior; conduct"
"kyseinen", "in question"
"kunnioitus", "respect"
"kulu", "expense"
"kirjoittaminen", "writing"
"keksi", "cookie; biscuit"
"johtajuus", "leadership"
"itsetunto", "self-esteem"
"itsekäs", "selfish"
"irrottaa", "loosen"
"investoida", "invest"
"ikuisesti", "forever; eternally; evermore; ad infinitum"
"eksyä", "get lost"
"digitaalinen", "digital"
"diakoni", "deacon"
"avoimuus", "sincerity; bona fides; openness"
"aloite", "initiative"
"allakka", "almanac; calendar"
"alkaen", "as of"
"alasti", "naked; nude; without clothing; in the nude"
"aikaisin", "early"
"aggressiivinen", "aggressive"
"äänestäjä", "voter; constituent"
"värinen", "-colored"
"voidaan", "be able; can; we can"
"vihellys", "whistle"
"vastainen", "prospective"
"varsinaisesti", "really; as such; by rights"
"tuolloin", "then; at that time; so; whereupon; well then"
"tulehdus", "inflammation"
"trendi", "trend"
"torstai", "thursday"
"tiivistää", "condense"
"taipua", "bend"
"taakka", "burden; weight"
"ryöstö", "robbery; larceny"
"rapu", "crab; crayfish"
"psykologi", "psychologist"
"paljo", "much"
"otsa", "forehead"
"orava", "squirrel"
"oksentaa", "vomit; puke"
"nukahtaa", "fall asleep; sleep"
"myönteinen", "positive"
"muokata", "edit; modify"
"markkinointi", "marketing"
"lelu", "toy"
"laatia", "make; compile; compose; write; create"
"käyttäytyminen", "behaviour; behavior"
"korvaus", "compensation; recompense"
"keppi", "stick; cane"
"kauneus", "beauty"
"kasvo", "countenance; face; physiognomy; visage"
"huijata", "deceive; con; cheat; hustle"
"hermostua", "worry about; tense up; get nervous"
"herkästi", "delicately; subtly"
"helpotus", "relief"
"heikentää", "weaken; impair"
"hankinta", "acquisition"
"ambulanssi", "ambulance"
"vaunu", "car; wagon"
"vastassa", "against; opposite; versus; something; con"
"valmennus", "coaching; conditioning"
"vakaa", "stable; solid"
"ujo", "shy"
"tällä", "this"
"turska", "cod"
"torvi", "horn; trumpet; bugle"
"todiste", "evidence; proof"
"taite", "fold; bend; crimp; plication; overlap"
"säveltää", "compose"
"selviytyä", "survive; cope; bear up; fend"
"rikkaus", "wealth; richness"
"riippuvainen", "dependent; addict"
"rasistinen", "racist"
"radikaali", "radical"
"poiketa", "deviate"
"pj.", "chairperson; chairman; chair; president; presider"
"pikemminkin", "rather than; rather"
"petra", "reindeer"
"perintö", "heritage; inheritance; legacy"
"omena", "apple"
"metsäteollisuus", "forest industry; timber industry; wood industry; forest industries; wood-based industries"
"meikki", "makeup"
"lähempänä", "closer"
"luotettava", "reliable; trustworthy; dependable"
"käärme", "snake"
"kundi", "guy; fella"
"kompromissi", "compromise"
"komiikka", "comedy"
"komea", "handsome"
"kivasti", "nicely; nice; well; kindly; pleasantly"
"kemikaali", "chemical"
"kehottaa", "urge; invite; tell; request; recommend"
"jousto", "flex; flexibility; elasticity; elasticity of supply; elasticity of demand"
"jakautua", "divide"
"huvittaa", "amuse"
"huolestuttaa", "worry; concern"
"hukassa", "missing; lost"
"hoitaminen", "managing"
"asetelma", "still life"
"ärsyttävä", "irritating; annoying"
"yhtenäinen", "uniform"
"vääntö", "twist"
"välittömästi", "immediately; instantaneously; instantly"
"varhain", "early"
"varastaa", "steal"
"ulottua", "extend; run; pass; go; lead"
"tyytyä", "be satisfied; content"
"tule", "come; come now"
"tietoisuus", "awareness; consciousness"
"syvemmälle", "deeper"
"sinfonia", "symphony"
"siili", "hedgehog"
"sammua", "pass out"
"rengas", "ring; tire"
