
"ääripää", "end, extremity, extreme",
"ääressä", "near, beside, at, by, alongside",
"väsymys", "fatigue",
"vaihtelu", "variation, change",
"tännepäin", "here, this way",
"tähtäin", "sight",
"turvallisesti", "safely, securely",
"soittaja", "caller, musician",
"siirto", "transfer",
"set", "set, together, group, crowd, amount",
"retki", "trip, picnic",
"pääty", "end",
"potentiaali", "potential",
"poikanen", "calf",
"plussa", "plus",
"pituinen", "long",
"palanen", "piece",
"olemus", "essence, entity",
"oikeudenmukainen", "fair, just, righteous",
"näyttely", "exhibition, expo, show",
"nuotti", "note",
"nukuttaa", "anesthetize",
"nilkka", "ankle",
"neuvola", "consultation, advice, help, tutorial, counsel",
"muutto", "migration",
"mummi", "grandmother, grandma, granny",
"monipuolinen", "versatile",
"mikäli", "if, in case",
"maasto", "terrain",
"luonnos", "draft, sketch",
"luonnollisesti", "naturally, per se, natch, au naturel",
"loputon", "endless, interminable, infinite",
"lisääminen", "addition",
"liikunta", "exercise, physical education",
"lahjoittaa", "donate",
"kätilö", "midwife",
"kummitus", "ghost",
"kotimainen", "domestic",
"kohu", "fuss",
"kives", "testicle",
"kirjo", "spectrum",
"kirjallinen", "literary",
"keretä", "arrive, come, come in, go, reach",
"kaukaa", "far, afar",
"kaava", "formula",
"isovanhempi", "grandparent",
"hukkua", "drown",
"helpottua", "be facilitated, ease up, ease, relieve, become easier",
"heilua", "shake",
"haudata", "bury",
"flunssa", "flu, cold",
"filosofi", "philosopher",
"elättää", "sustain, support",
"elvyttää", "resuscitate, revive",
"ekstrovertti", "extrovert",
"ehjä", "intact",
"aavistus", "intuition, feeling",
"aarnio", "forest",
"vähentäminen", "subtraction",
"vuokrata", "rent, charter, lease",
"viulu", "violin",
"varuste", "gear",
"valmius", "readiness",
"vallata", "conquer, occupy, take over",
"vakuuttaa", "insure, assure, convince, persuade",
"vaari", "grandfather",
"useimmiten", "usually, mostly, more often than not",
"ulkomainen", "foreign",
"tervehtiä", "greet",
"taikka", "or, alternatively",
"säännöllisesti", "regularly",
"syyttäjä", "prosecutor, accuser",
"suositus", "recommendation",
"sovittaa", "try on",
"sotkea", "implicate, involve",
"samankaltainen", "similar",
"riippumatta", "regardless",
"ratketa", "burst, break",
"raikas", "fresh",
"pa", "right, correct, exact, real, just",
"pahvinen", "pasteboard, cardboard",
"ovela", "sly, cunning",
"ohjaus", "guidance",
"neliö", "square",
"myöhäinen", "late",
"mutka", "bend",
"murha", "murder",
"mukavasti", "all right, comfortably, nicely",
"matto", "carpet",
"maistella", "graze, browse",
"lapsenlapsi", "grandchild, grandson",
"laivasto", "navy, fleet",
"laillistaminen", "legalization",
"kätellä", "shake, shake hands",
"kuula", "bullet, ball",
"korruptio", "corruption",
"korda", "chord, tendon, sinew, secant line, chord line",
"kioski", "kiosk",
"keskiö", "hub",
"kasvis", "vegetable",
"juoksu", "running, run",
"hyppy", "jump",
"hilla", "cloudberry",
"haukku", "bark, bite",
"haasteellinen", "challenging",
"ekologinen", "ecological",
"demo", "demonstration",
"arka", "timid, shy, tender",
"ankka", "duck",
"aikataulu", "timetable, schedule",
"yrjö", "vomitus, emetic, liquid laugh, pavement pizza, multicolour yawn",
"viimeistään", "latest",
"vihreät", "greens",
"vierestä", "near, at, beside, by, alongside",
"vaalea", "light, pale, fair, blonde",
"tuttava", "acquaintance",
"toisinaan", "sometimes, at times",
"tinkiä", "bargain, compromise",
"tiivis", "compact, dense, tight",
"tavaton", "extraordinary",
"taputus", "pat",
"takka", "fireplace",
